Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"A1","MX-LED","MXOnly-1U-Hotswap",95.252500,57.135000,0.000000,top
"B1","MX-LED","MXOnly-1U-Hotswap",180.977500,38.085000,0.000000,top
"Backspace1","MX-LED","MXOnly-2U-Hotswap",319.090000,95.235000,0.000000,top
"CAPSLOCK1","MX-LED","MXOnly-1.75U-Hotswap",69.040000,57.135000,0.000000,top
"Ckey1","MX-LED","MXOnly-1U-Hotswap",142.877500,38.085000,0.000000,top
"CloseBracket1","MX-LED","MXOnly-1U-Hotswap",300.040000,76.185000,0.000000,top
"CommaSign1","MX-LED","MXOnly-1U-Hotswap",238.127500,38.085000,0.000000,top
"DELETE1","MX-LED","MXOnly-1U-Hotswap",347.665000,128.572500,0.000000,top
"DOWNARROW1","MX-LED","MXOnly-1U-Hotswap",328.615000,19.035000,0.000000,top
"Dkey1","MX-LED","MXOnly-1U-Hotswap",133.352500,57.135000,0.000000,top
"DotSign1","MX-LED","MXOnly-1U-Hotswap",257.177500,38.085000,0.000000,top
"E1","MX-LED","MXOnly-1U-Hotswap",128.590000,76.185000,0.000000,top
"ENTER1","MX-LED","MXOnly-2.25U-Hotswap",316.690000,57.135000,0.000000,top
"ESC1","MX-LED","MXOnly-1U-Hotswap",61.915000,128.572500,0.000000,top
"EXTRA1","MX-LED","MXOnly-1U-Hotswap",14.290000,95.235000,0.000000,top
"EXTRA2","MX-LED","MXOnly-1U-Hotswap",14.290000,76.185000,0.000000,top
"EXTRA3","MX-LED","MXOnly-1U-Hotswap",14.290000,57.135000,0.000000,top
"EXTRA4","MX-LED","MXOnly-1U-Hotswap",14.290000,38.085000,0.000000,top
"EXTRA5","MX-LED","MXOnly-1U-Hotswap",14.290000,19.035000,0.000000,top
"EXTRA6","MX-LED","MXOnly-1U-Hotswap",33.340000,95.235000,0.000000,top
"EXTRA7","MX-LED","MXOnly-1U-Hotswap",33.389994,76.185000,0.000000,top
"EXTRA8","MX-LED","MXOnly-1U-Hotswap",33.340000,57.135000,0.000000,top
"EXTRA9","MX-LED","MXOnly-1U-Hotswap",33.340000,38.085000,0.000000,top
"EXTRA10","MX-LED","MXOnly-1U-Hotswap",33.389994,19.035000,0.000000,top
"End1","MX-LED","MXOnly-1U-Hotswap",347.665000,76.185000,0.000000,top
"EqualSign1","MX-LED","MXOnly-1U-Hotswap",290.515000,95.235000,0.000000,top
"F1","MX-LED","MXOnly-1U-Hotswap",80.965000,128.572500,0.000000,top
"F2","MX-LED","MXOnly-1U-Hotswap",100.015000,128.572500,0.000000,top
"F3","MX-LED","MXOnly-1U-Hotswap",119.065000,128.572500,0.000000,top
"F4","MX-LED","MXOnly-1U-Hotswap",138.115000,128.572500,0.000000,top
"F5","MX-LED","MXOnly-1U-Hotswap",157.165000,128.572500,0.000000,top
"F6","MX-LED","MXOnly-1U-Hotswap",176.215000,128.572500,0.000000,top
"F7","MX-LED","MXOnly-1U-Hotswap",195.265000,128.572500,0.000000,top
"F8","MX-LED","MXOnly-1U-Hotswap",214.315000,128.572500,0.000000,top
"F9","MX-LED","MXOnly-1U-Hotswap",233.365000,128.572500,0.000000,top
"F10","MX-LED","MXOnly-1U-Hotswap",252.415000,128.572500,0.000000,top
"F11","MX-LED","MXOnly-1U-Hotswap",271.465000,128.572500,0.000000,top
"F12","MX-LED","MXOnly-1U-Hotswap",290.515000,128.572500,0.000000,top
"FNKEY1","MX-LED","MXOnly-1U-Hotswap",271.465000,19.035000,0.000000,top
"Fkey1","MX-LED","MXOnly-1U-Hotswap",152.402500,57.135000,0.000000,top
"G1","MX-LED","MXOnly-1U-Hotswap",171.452500,57.135000,0.000000,top
"Hkey1","MX-LED","MXOnly-1U-Hotswap",190.502500,57.135000,0.000000,top
"Home1","MX-LED","MXOnly-1U-Hotswap",347.665000,95.235000,0.000000,top
"I1","MX-LED","MXOnly-1U-Hotswap",223.840000,76.185000,0.000000,top
"Ins1","MX-LED","MXOnly-1U-Hotswap",309.565000,128.572500,0.000000,top
"Jkey1","MX-LED","MXOnly-1U-Hotswap",209.552500,57.135000,0.000000,top
"K1","MX-LED","MXOnly-1U-Hotswap",228.602500,57.135000,0.000000,top
"L1","MX-LED","MXOnly-1U-Hotswap",247.652500,57.135000,0.000000,top
"LEFTALT1","MX-LED","MXOnly-1.25U-Hotswap",111.902500,19.035000,0.000000,top
"LEFTARROW1","MX-LED","MXOnly-1U-Hotswap",309.565000,19.035000,0.000000,top
"LEFTCTRL1","MX-LED","MXOnly-1.25U-Hotswap",64.277500,19.035000,0.000000,top
"LEFTSHIFT1","MX-LED","MXOnly-2.25U-Hotswap",73.802500,38.085000,0.000000,top
"M1","MX-LED","MXOnly-1U-Hotswap",219.077500,38.085000,0.000000,top
"Matilda1","MX-LED","MXOnly-1U-Hotswap",61.915000,95.235000,0.000000,top
"MinusSign1","MX-LED","MXOnly-1U-Hotswap",271.465000,95.235000,0.000000,top
"N1","MX-LED","MXOnly-1U-Hotswap",200.027500,38.085000,0.000000,top
"Num0","MX-LED","MXOnly-1U-Hotswap",252.415000,95.235000,0.000000,top
"Num1","MX-LED","MXOnly-1U-Hotswap",80.965000,95.235000,0.000000,top
"Num2","MX-LED","MXOnly-1U-Hotswap",100.015000,95.235000,0.000000,top
"Num3","MX-LED","MXOnly-1U-Hotswap",119.065000,95.235000,0.000000,top
