Comment,Designator,Footprint,LCSC
100nF,"C1,C10,C11,C14,C2,C3,C4,C6,C7,C9",C_0603_1608Metric,C14663
1uf,"C12,C5,C8",C_0603_1608Metric,C15849
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C165948
10uf,C13,C_0603_1608Metric,C19702
5.1k,"R4,R5",R_0603_1608Metric,C23186
10k,"R3,R6,R7",R_0603_1608Metric,C25804
BOOT,"SW1,SW2",SW_SPST_SKQG_WithStem,C318884
RotaryEncoder_Switch,SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,C361165
MX-LED,"A1,B1,Backspace1,CAPSLOCK1,Ckey1,CloseBracket1,CommaSign1,DELETE1,DOWNARROW1,Dkey1,DotSign1,E1,ENTER1,ESC1,EXTRA1,EXTRA10,EXTRA2,EXTRA3,EXTRA4,EXTRA5,EXTRA6,EXTRA7,EXTRA8,EXTRA9,End1,EqualSign1,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,FNKEY1,Fkey1,G1,Hkey1,Home1,I1,Ins1,Jkey1,K1,L1,LEFTALT1,LEFTARROW1,LEFTCTRL1,LEFTSHIFT1,M1,Matilda1,MinusSign1,N1,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num7,Num8,Num9,O1,OpenBracket1,P1,PRTSC1,PgDn1,PgUp1,Q1,QuestionMark1,Quote1,R1,RIGHTALT1,RIGHTARROW1,RIGHTCONTROL1,RIGHTSHIFT1,S1,SPACEBAR1,Semicolon1,Slash1,T1,Tab1,U2,UPARROW1,V1,W1,WINDOWSKEY1,X1,Y1,Z1",SW_MX_HS_1u,C5156480
XC6206P332MR,U3,SOT-23,C5446
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95",D_SOD-123,C81598
STM32F072R8Tx,U1,LQFP-64_10x10mm_P0.5mm,C87900
MountingHole,H3,MountingHole_2.2mm_M2,
MountingHole,H2,MountingHole_2.2mm_M2,
MountingHole,H4,MountingHole_2.2mm_M2,
MountingHole,H1,MountingHole_2.2mm_M2,
MX_stab,SpacebarStab1,STAB_MX_P_6.25u,
MX_stab,ShiftStab1,STAB_MX_P_2.25u,
MX_stab,EnterStab1,STAB_MX_P_2.25u,
MX_stab,BackspaceStab1,STAB_MX_P_2u,
