Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"A1","MX-LED","SW_MX_HS_1u",-92.460192,54.360192,0,bottom
"B1","MX-LED","SW_MX_HS_1u",-178.185192,35.310192,180.000000,bottom
"Backspace1","MX-LED","SW_MX_HS_1u",-316.297692,92.460192,180.000000,bottom
"C1","100nF","C_0603_1608Metric",-162.707692,14.215192,90.000000,bottom
"C2","100nF","C_0603_1608Metric",-210.107692,21.275192,-90.000000,bottom
"C3","0,1uF","C_0603_1608Metric",-211.297692,5.825192,-90.000000,bottom
"C4","0,1uF","C_0603_1608Metric",-225.517692,15.005192,90.000000,bottom
"C5","1uF","C_0603_1608Metric",-198.857692,20.835192,90.000000,bottom
"C6","0,1uF","C_0603_1608Metric",-209.737692,15.655192,-90.000000,bottom
"C7","0,1uF","C_0603_1608Metric",-220.702692,19.495192,180.000000,bottom
"C8","1uF","C_0603_1608Metric",-204.997692,19.735192,90.000000,bottom
"C9","0,1uF","C_0603_1608Metric",-225.307692,6.925192,90.000000,bottom
"C10","100nF","C_0603_1608Metric",-201.507692,6.635192,-90.000000,bottom
"C11","100nF","C_0603_1608Metric",-205.797692,7.305192,-90.000000,bottom
"C12","1uf","C_0603_1608Metric",-223.257692,21.175192,180.000000,bottom
"C13","10uf","C_0603_1608Metric",-206.597692,16.865192,-90.000000,bottom
"C14","0,1uF","C_0603_1608Metric",-212.497692,19.245192,-90.000000,bottom
"CAPSLOCK1","MX-LED","SW_MX_HS_1.75u",-66.247692,54.360192,180.000000,bottom
"Ckey1","MX-LED","SW_MX_HS_1u",-140.085192,35.310192,180.000000,bottom
"CloseBracket1","MX-LED","SW_MX_HS_1u",-297.247692,73.410192,180.000000,bottom
"CommaSign1","MX-LED","SW_MX_HS_1u",-235.335192,35.310192,180.000000,bottom
"D1","1N4148","D_SOD-123",-11.272692,101.210192,0.000000,bottom
"D2","1N4148","D_SOD-123",-11.572692,82.010192,0.000000,bottom
"D3","1N4148","D_SOD-123",-11.572692,62.985192,0.000000,bottom
"D4","1N4148","D_SOD-123",-11.972692,43.810192,0.000000,bottom
"D5","1N4148","D_SOD-123",-11.572692,25.010192,0.000000,bottom
"D6","1N4148","D_SOD-123",-32.172692,116.510192,180.000000,bottom
"D7","1N4148","D_SOD-123",-30.172692,101.210192,0.000000,bottom
"D8","1N4148","D_SOD-123",-30.872692,82.110192,0.000000,bottom
"D9","1N4148","D_SOD-123",-30.172692,63.010192,0.000000,bottom
"D10","1N4148","D_SOD-123",-31.272692,43.910192,0.000000,bottom
"D11","1N4148","D_SOD-123",-32.372692,24.810192,0.000000,bottom
"D12","1N4148","D_SOD-123",-62.572692,134.110192,0.000000,bottom
"D13","1N4148","D_SOD-123",-60.872692,101.110192,0.000000,bottom
"D14","1N4148","D_SOD-123",-64.072692,24.810192,0.000000,bottom
"D15","1N4148","D_SOD-123",-64.072692,81.910192,0.000000,bottom
"D16","1N4148","D_SOD-123",-68.472692,62.710192,0.000000,bottom
"D17","1N4148","D_SOD-123",-74.722692,43.710192,0.000000,bottom
"D18","1N4148","D_SOD-123",-81.472692,134.010192,0.000000,bottom
"D19","1N4148","D_SOD-123",-81.872692,100.910192,0.000000,bottom
"D20","1N4148","D_SOD-123",-89.022692,24.610192,0.000000,bottom
"D21","1N4148","D_SOD-123",-90.872692,81.510192,0.000000,bottom
"D22","1N4148","D_SOD-123",-96.222692,62.760192,0.000000,bottom
"D23","1N4148","D_SOD-123",-100.872692,134.110192,0.000000,bottom
"D24","1N4148","D_SOD-123",-100.872692,100.710192,0.000000,bottom
"D25","1N4148","D_SOD-123",-105.672692,43.710192,0.000000,bottom
"D26","1N4148","D_SOD-123",-109.572692,81.710192,0.000000,bottom
"D27","1N4148","D_SOD-123",-112.872692,24.660192,0.000000,bottom
"D28","1N4148","D_SOD-123",-115.222692,62.810192,0.000000,bottom
"D29","1N4148","D_SOD-123",-119.972692,134.010192,0.000000,bottom
"D30","1N4148","D_SOD-123",-119.972692,100.910192,0.000000,bottom
"D31","1N4148","D_SOD-123",-124.772692,43.660192,0.000000,bottom
"D32","1N4148","D_SOD-123",-129.572692,81.810192,0.000000,bottom
"D33","1N4148","D_SOD-123",-134.322692,62.760192,0.000000,bottom
"D34","1N4148","D_SOD-123",-138.972692,134.110192,0.000000,bottom
"D35","1N4148","D_SOD-123",-139.072692,100.710192,0.000000,bottom
"D36","1N4148","D_SOD-123",-143.822692,43.710192,0.000000,bottom
"D37","1N4148","D_SOD-123",-148.472692,81.810192,0.000000,bottom
"D38","1N4148","D_SOD-123",-153.322692,62.810192,0.000000,bottom
"D39","1N4148","D_SOD-123",-157.872692,134.110192,0.000000,bottom
"D40","1N4148","D_SOD-123",-158.072692,100.710192,0.000000,bottom
"D41","1N4148","D_SOD-123",-162.872692,43.710192,0.000000,bottom
"D42","1N4148","D_SOD-123",-167.672692,81.910192,0.000000,bottom
"D43","1N4148","D_SOD-123",-172.372692,62.710192,0.000000,bottom
"D44","1N4148","D_SOD-123",-175.872692,134.110192,0.000000,bottom
"D45","1N4148","D_SOD-123",-177.172692,100.810192,0.000000,bottom
"D46","1N4148","D_SOD-123",-181.872692,43.760192,0.000000,bottom
"D47","1N4148","D_SOD-123",-184.272692,24.560192,0.000000,bottom
"D48","1N4148","D_SOD-123",-186.672692,81.910192,0.000000,bottom
"D49","1N4148","D_SOD-123",-191.422692,62.760192,0.000000,bottom
"D50","1N4148","D_SOD-123",-195.572692,134.210192,0.000000,bottom
"D51","1N4148","D_SOD-123",-196.172692,100.910192,0.000000,bottom
"D52","1N4148","D_SOD-123",-200.972692,43.660192,0.000000,bottom
"D53","1N4148","D_SOD-123",-205.672692,81.810192,0.000000,bottom
"D54","1N4148","D_SOD-123",-210.472692,62.760192,0.000000,bottom
"D55","1N4148","D_SOD-123",-214.972692,134.010192,0.000000,bottom
"D56","1N4148","D_SOD-123",-215.272692,100.810192,0.000000,bottom
"D57","1N4148","D_SOD-123",-220.022692,43.610192,0.000000,bottom
"D58","1N4148","D_SOD-123",-224.772692,81.810192,0.000000,bottom
"D59","1N4148","D_SOD-123",-229.522692,62.760192,0.000000,bottom
"D60","1N4148","D_SOD-123",-234.272692,134.110192,0.000000,bottom
"D61","1N4148","D_SOD-123",-234.272692,100.810192,0.000000,bottom
"D62","1N4148","D_SOD-123",-239.072692,43.810192,0.000000,bottom
"D63","1N4148","D_SOD-123",-243.772692,81.610192,0.000000,bottom
"D64","1N4148","D_SOD-123",-248.572692,62.760192,0.000000,bottom
"D65","1N4148","D_SOD-123",-253.172692,134.110192,0.000000,bottom
"D66","1N4148","D_SOD-123",-253.372692,100.710192,0.000000,bottom
"D67","1N4148","D_SOD-123",-253.372692,24.660192,0.000000,bottom
"D68","1N4148","D_SOD-123",-258.122692,43.710192,0.000000,bottom
"D69","1N4148","D_SOD-123",-262.172692,81.710192,0.000000,bottom
"D70","1N4148","D_SOD-123",-267.622692,62.710192,0.000000,bottom
"D71","1N4148","D_SOD-123",-272.372692,134.010192,0.000000,bottom
"D72","1N4148","D_SOD-123",-272.372692,100.810192,0.000000,bottom
"D73","1N4148","D_SOD-123",-272.422692,24.660192,0.000000,bottom
"D74","1N4148","D_SOD-123",-277.172692,43.710192,0.000000,bottom
"D75","1N4148","D_SOD-123",-281.972692,81.810192,0.000000,bottom
"D76","1N4148","D_SOD-123",-286.722692,62.860192,0.000000,bottom
"D77","1N4148","D_SOD-123",-291.172692,134.010192,0.000000,bottom
"D78","1N4148","D_SOD-123",-287.972692,100.910192,0.000000,bottom
"D79","1N4148","D_SOD-123",-291.472692,24.660192,0.000000,bottom
"D80","1N4148","D_SOD-123",-299.197692,81.725192,0.000000,bottom
"D81","1N4148","D_SOD-123",-296.327692,43.725192,0.000000,bottom
"D82","1N4148","D_SOD-123",-310.072692,134.010192,0.000000,bottom
"D83","1N4148","D_SOD-123",-310.522692,24.610192,0.000000,bottom
"D84","1N4148","D_SOD-123",-316.972692,101.110192,0.000000,bottom
"D85","1N4148","D_SOD-123",-317.622692,62.710192,0.000000,bottom
"D86","1N4148","D_SOD-123",-323.337692,81.835192,0.000000,bottom
